Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Dan Carpenter,MIA,K,128.0,14,9.1,6.0,8.0,11.0,13.0,,6.0,10.0,6.0,8.0,8.0,,,11.0,4.0,12.0,7.0,18.0
Antonio Brown,PIT,WR,126.9,16,7.9,1.4,6.8,7.5,7.5,3.3,1.6,10.2,12.7,10.9,8.6,,8.6,7.6,21.1,5.9,4.2,9.0
Brandon Lloyd,Multi,WR,126.6,15,8.4,8.9,,3.8,13.6,2.0,,7.4,11.3,8.0,10.8,12.7,13.4,3.4,8.2,4.2,2.9,16.0
Cincinnati Bengals,CIN,DST,125.0,16,7.8,5.0,6.0,13.0,2.0,14.0,15.0,,18.0,5.0,7.0,2.0,5.0,-1.0,14.0,7.0,12.0,1.0
Jermichael Finley,GB,TE,124.7,16,7.8,5.3,6.8,26.5,2.8,6.7,2.0,7.3,,10.4,6.7,3.0,3.8,14.7,0.0,8.3,8.0,12.4
Jason Witten,DAL,TE,124.2,16,7.8,11.0,10.2,6.0,15.4,,10.8,9.5,2.8,13.1,3.7,14.5,4.3,4.7,1.2,7.7,2.4,6.9
Jacksonville Jaguars,JAC,DST,124.0,16,7.8,5.0,4.0,1.0,7.0,4.0,4.0,11.0,6.0,,18.0,5.0,9.0,-4.0,30.0,4.0,7.0,13.0
Alex Henery,PHI,K,124.0,16,7.8,7.0,7.0,10.0,11.0,6.0,8.0,,10.0,7.0,5.0,5.0,9.0,2.0,7.0,9.0,11.0,10.0
Jabar Gaffney,WAS,WR,122.7,16,7.7,11.4,6.2,6.0,6.2,,5.5,4.8,4.0,10.0,3.7,17.5,7.2,0.0,15.2,8.5,13.7,2.8
DeSean Jackson,PHI,WR,122.2,15,8.2,16.2,2.1,3.3,17.1,14.2,4.6,,3.1,0.6,,8.8,7.3,3.9,11.9,2.8,11.7,14.6
Ben Tate,HOU,RB,122.0,15,8.1,15.6,13.5,9.0,2.0,,4.1,10.4,2.2,17.5,12.3,,2.6,4.1,7.7,3.0,-0.1,18.1
Pittsburgh Steelers,PIT,DST,122.0,16,7.6,-3.0,15.0,10.0,1.0,6.0,9.0,7.0,6.0,5.0,5.0,,13.0,12.0,14.0,1.0,13.0,8.0
New York Giants,NYG,DST,121.0,16,7.6,6.0,13.0,9.0,8.0,11.0,7.0,,8.0,11.0,4.0,8.0,-4.0,3.0,7.0,5.0,14.0,11.0
Atlanta Falcons,ATL,DST,121.0,16,7.6,13.0,5.0,5.0,3.0,6.0,8.0,6.0,,13.0,0.0,4.0,5.0,6.0,6.0,23.0,1.0,17.0
DeMarco Murray,DAL,RB,120.0,13,9.2,1.3,2.5,0.6,1.1,,4.1,31.3,7.2,18.6,23.1,10.5,12.8,3.8,3.1,,,
Reggie Wayne,IND,WR,120.0,16,7.5,16.6,6.6,2.4,5.9,7.7,5.8,3.6,6.1,3.0,1.3,,18.2,5.5,4.1,9.3,16.6,7.3
Brandon Jacobs,NYG,RB,119.9,14,8.6,2.9,12.7,14.1,7.8,,,,1.0,16.0,7.2,3.2,10.6,11.9,22.1,3.3,5.5,1.6
Antonio Gates,LAC,TE,119.8,13,9.2,7.4,0.0,,,,,11.4,7.3,15.6,5.4,12.3,10.9,7.0,18.8,3.1,4.0,16.6
Darrius Heyward-Bey,LV,WR,119.5,15,8.0,4.4,,0.5,11.5,15.9,8.2,8.9,,0.0,0.0,4.3,4.2,8.3,7.8,19.5,7.0,19.0
C.J. Spiller,BUF,RB,119.0,16,7.4,8.1,6.9,-0.4,2.1,1.6,3.9,,0.9,0.5,0.1,2.0,7.0,16.2,5.6,28.7,19.8,16.0
Connor Barth,TB,K,118.0,16,7.4,8.0,6.0,11.0,7.0,3.0,17.0,4.0,,12.0,5.0,8.0,6.0,18.0,2.0,1.0,5.0,5.0
Stephen Hauschka,SEA,K,118.0,16,7.4,5.0,0.0,9.0,4.0,11.0,,3.0,7.0,8.0,16.0,6.0,5.0,8.0,14.0,8.0,5.0,9.0
Christian Ponder,MIN,QB,117.9,11,10.7,,,,,,4.8,15.9,13.8,,7.3,17.5,12.3,22.4,5.9,14.2,4.7,-0.9
LeGarrette Blount,TB,RB,116.9,14,8.4,1.5,19.1,9.4,20.1,6.5,,,,8.0,3.4,17.3,11.9,1.9,12.0,2.1,1.1,2.6
Roy Helu,WAS,RB,115.9,15,7.7,0.2,11.2,3.2,3.5,,1.7,0.5,2.0,12.6,5.4,3.8,22.2,18.2,13.2,6.9,,11.3
Malcom Floyd,LAC,WR,115.6,12,9.6,4.5,5.9,2.8,2.6,16.0,,3.6,10.7,,,,,16.8,2.9,15.6,15.5,18.7
Lance Moore,NO,WR,114.7,14,8.2,,0.6,18.8,5.0,3.0,4.6,4.4,13.4,8.0,2.8,,17.4,8.3,2.0,21.1,5.3,
Blaine Gabbert,JAC,QB,114.3,15,7.6,,2.2,7.8,11.2,9.9,10.0,3.6,5.3,,7.5,9.4,3.5,15.7,12.4,4.1,6.3,5.4
Santonio Holmes,NYJ,WR,114.1,16,7.1,7.0,10.2,1.9,3.3,12.0,12.3,2.4,,8.9,9.3,3.9,11.0,11.8,7.2,8.0,4.9,0.0
Jeremy Maclin,PHI,WR,114.0,13,8.8,2.0,29.2,6.9,5.4,11.4,10.1,,11.4,6.3,0.6,,,,1.3,5.7,13.2,10.5
Phil Dawson,CLE,K,114.0,16,7.1,5.0,9.0,5.0,10.0,,7.0,10.0,6.0,10.0,14.0,2.0,10.0,4.0,3.0,6.0,2.0,11.0
Michael Crabtree,SF,WR,114.0,15,7.6,0.4,,2.4,6.8,3.6,7.7,,11.4,5.1,4.1,12.0,5.4,15.6,6.3,3.5,8.5,21.2
Dallas Cowboys,DAL,DST,113.0,16,7.1,8.0,8.0,9.0,2.0,,12.0,9.0,3.0,12.0,19.0,7.0,7.0,6.0,-2.0,9.0,3.0,1.0
Kansas City Chiefs,KC,DST,113.0,16,7.1,-1.0,-2.0,7.0,5.0,0.0,,35.0,12.0,-1.0,1.0,4.0,9.0,20.0,1.0,5.0,5.0,13.0
Vernon Davis,SF,TE,112.7,16,7.0,4.7,1.8,11.2,10.5,15.6,0.8,,2.7,2.1,10.0,12.7,3.8,3.2,3.2,13.2,5.4,11.8
Shaun Suisham,PIT,K,112.0,16,7.0,1.0,6.0,13.0,4.0,8.0,5.0,13.0,11.0,8.0,6.0,,8.0,5.0,2.0,5.0,10.0,7.0
Nick Folk,NYJ,K,112.0,16,7.0,11.0,13.0,6.0,6.0,3.0,6.0,9.0,,12.0,2.0,8.0,4.0,13.0,5.0,7.0,2.0,5.0
Brent Celek,PHI,TE,111.1,16,6.9,1.3,4.3,0.9,0.2,0.6,10.2,,15.4,6.0,5.3,6.0,7.5,2.1,3.9,21.6,11.2,14.6
Miami Dolphins,MIA,DST,111.0,16,6.9,-1.0,3.0,3.0,2.0,,5.0,9.0,2.0,12.0,11.0,17.0,6.0,11.0,9.0,9.0,4.0,9.0
Josh Scobee,JAC,K,110.0,16,6.9,12.0,5.0,6.0,4.0,8.0,9.0,18.0,2.0,,6.0,5.0,7.0,2.0,5.0,2.0,5.0,14.0
Dustin Keller,NYJ,TE,109.5,16,6.8,12.1,16.1,8.7,1.2,0.7,5.1,3.3,,6.4,3.7,4.0,18.1,1.2,3.4,7.3,7.7,10.5
Plaxico Burress,NYJ,WR,109.2,16,6.8,13.2,0.0,11.5,3.3,4.2,1.6,20.5,,7.9,9.9,6.4,11.4,3.3,0.0,6.9,3.4,5.7
Brandon Pettigrew,DET,TE,107.7,16,6.7,5.7,0.7,11.2,6.4,9.9,10.2,3.1,0.8,,3.8,9.7,2.7,1.3,11.7,4.9,14.0,11.6
Eric Decker,DEN,WR,107.3,16,6.7,5.3,21.3,4.8,17.7,-0.4,,2.1,13.2,10.7,11.6,0.0,12.5,2.5,3.3,2.2,0.0,0.5
Tennessee Titans,TEN,DST,107.0,16,6.7,5.0,13.0,6.0,16.0,0.0,,-4.0,17.0,1.0,16.0,2.0,16.0,6.0,2.0,2.0,4.0,5.0
Anquan Boldin,BAL,WR,106.7,14,7.6,13.4,4.6,7.4,2.8,,13.2,10.0,14.5,8.8,2.2,9.5,6.3,3.2,5.7,5.1,,
James Jones,GB,WR,105.5,16,6.6,0.1,1.5,2.4,10.8,20.0,9.5,6.3,,8.1,0.9,0.0,15.4,0.0,2.9,1.7,17.0,8.9
Lawrence Tynes,NYG,K,105.0,16,6.6,2.0,4.0,3.0,7.0,5.0,9.0,,8.0,6.0,8.0,5.0,7.0,11.0,9.0,5.0,9.0,7.0
Adam Vinatieri,IND,K,105.0,16,6.6,1.0,15.0,8.0,6.0,8.0,6.0,1.0,4.0,1.0,4.0,,8.0,6.0,4.0,11.0,14.0,8.0
Denver Broncos,DEN,DST,105.0,16,6.6,3.0,2.0,7.0,2.0,14.0,,7.0,1.0,8.0,8.0,17.0,7.0,14.0,10.0,-2.0,0.0,7.0
