Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Seth Roberts,LV,WR,92.7,16,5.8,8.9,4.0,9.7,8.7,3.2,4.4,6.2,14.4,4.7,,1.1,12.6,4.8,2.2,3.7,0.0,4.1
Vernon Davis,WAS,TE,92.3,16,5.8,2.5,7.6,0.0,1.3,3.0,12.0,10.9,11.8,,14.1,0.0,9.3,7.2,0.6,4.3,1.8,5.9
Andrew Franks,MIA,K,92.0,16,5.8,5.0,6.0,6.0,1.0,5.0,12.0,8.0,,9.0,7.0,2.0,7.0,0.0,6.0,4.0,12.0,2.0
Cincinnati Bengals,CIN,DST,92.0,16,5.8,4.0,5.0,4.0,13.0,2.0,-1.0,7.0,3.0,,5.0,5.0,7.0,8.0,9.0,1.0,9.0,11.0
Tennessee Titans,TEN,DST,92.0,16,5.8,4.0,7.0,4.0,5.0,11.0,6.0,1.0,4.0,0.0,11.0,4.0,4.0,,11.0,4.0,3.0,13.0
DeAngelo Williams,PIT,RB,91.1,9,10.1,32.1,21.2,6.4,7.4,0.0,1.0,,,0.1,,,,,,,0.0,22.9
Los Angeles Rams,LAR,DST,91.0,16,5.7,1.0,11.0,12.0,17.0,3.0,0.0,6.0,,9.0,10.0,7.0,0.0,0.0,1.0,4.0,8.0,2.0
Dallas Cowboys,DAL,DST,91.0,16,5.7,5.0,4.0,6.0,4.0,5.0,10.0,,5.0,8.0,0.0,2.0,0.0,6.0,13.0,13.0,8.0,2.0
Connor Barth,CHI,K,90.0,16,5.6,2.0,2.0,5.0,5.0,12.0,10.0,4.0,8.0,,6.0,5.0,3.0,7.0,5.0,9.0,3.0,4.0
Houston Texans,HOU,DST,89.0,16,5.6,8.0,14.0,1.0,4.0,1.0,5.0,0.0,5.0,,12.0,2.0,3.0,3.0,8.0,7.0,9.0,7.0
Cody Parkey,CLE,K,89.0,14,6.4,,,12.0,11.0,1.0,9.0,5.0,9.0,4.0,1.0,3.0,7.0,,4.0,8.0,9.0,6.0
Cordarrelle Patterson,MIN,RB,87.6,16,5.5,1.9,-0.2,1.3,6.5,12.6,,16.2,5.1,7.5,3.2,7.3,6.2,2.6,3.3,7.4,2.3,4.4
Donte Moncrief,IND,WR,87.6,9,9.7,15.4,1.4,,,,,,12.0,13.0,,11.7,13.5,10.6,0.0,,10.0,
Jeremy Maclin,KC,WR,87.5,12,7.3,14.7,9.8,5.5,10.3,,6.4,6.0,11.8,0.0,,,,,2.1,11.2,2.4,7.3
Kenneth Dixon,BAL,RB,87.4,12,7.3,,,,,1.0,1.7,0.4,,2.3,10.5,4.0,10.0,9.7,18.1,9.6,6.3,13.8
Greg Zuerlein,LAR,K,87.0,16,5.4,0.0,10.0,9.0,5.0,15.0,4.0,4.0,,4.0,9.0,5.0,3.0,5.0,2.0,3.0,3.0,6.0
Washington Commanders,WAS,DST,86.0,16,5.4,-1.0,6.0,8.0,8.0,7.0,6.0,4.0,7.0,,6.0,6.0,0.0,1.0,9.0,2.0,12.0,5.0
Lance Kendricks,LAR,TE,84.9,16,5.3,2.5,8.1,0.0,7.7,3.4,11.9,9.0,,12.5,0.5,3.8,13.1,2.3,1.8,1.0,5.1,2.2
Tajae Sharpe,TEN,WR,84.8,16,5.3,11.1,5.3,6.3,2.5,2.7,0.1,7.9,1.6,7.8,14.3,14.8,2.1,,0.0,2.0,6.3,0.0
Breshad Perriman,BAL,WR,84.6,16,5.3,4.0,4.2,3.4,3.9,2.1,6.3,1.6,,4.8,13.9,0.0,7.9,12.9,6.7,0.0,4.7,8.2
Rob Gronkowski,NE,TE,84.5,8,10.6,,,0.0,1.6,13.4,25.7,17.3,19.4,,7.1,,0.0,,,,,
Chris Ivory,JAC,RB,84.5,11,7.7,,,2.8,2.9,,10.5,6.1,1.7,9.2,5.1,12.4,12.0,,,4.4,17.4,
Jacquizz Rodgers,TB,RB,84.3,10,8.4,,2.9,2.8,3.4,15.4,,16.8,14.3,,,,,5.5,0.0,,14.8,8.4
John Brown,ARI,WR,84.2,15,5.6,1.3,1.9,10.0,19.4,1.6,7.9,,12.9,,5.0,0.0,2.4,0.0,0.0,16.6,1.7,3.5
Zach Zenner,DET,RB,84.0,14,6.0,,,0.0,3.9,4.2,8.7,8.9,1.2,0.0,,0.0,0.0,4.0,5.5,6.4,22.2,19.0
Tyler Eifert,CIN,TE,83.9,8,10.5,,,,,,,1.4,20.7,,11.1,5.2,15.3,9.5,19.3,1.4,,
Allen Hurns,JAC,WR,83.2,11,7.6,9.5,8.9,6.0,11.7,,9.9,6.5,19.3,0.0,2.3,1.4,7.7,,,,,
Phillip Dorsett II,IND,WR,82.3,15,5.5,11.4,3.5,4.2,13.2,3.6,2.2,,5.8,3.8,,5.5,4.6,0.7,3.4,11.5,1.3,7.6
Victor Cruz,NYG,WR,82.1,15,5.5,11.4,9.1,8.5,7.5,0.0,4.6,8.0,,5.1,,5.3,4.2,0.0,0.9,3.4,12.4,1.7
Damien Williams,MIA,RB,81.9,15,5.5,4.3,,10.0,2.0,8.0,8.7,7.6,,5.9,14.5,0.0,2.8,1.9,7.8,0.0,6.1,2.3
Indianapolis Colts,IND,DST,81.0,16,5.1,-3.0,3.0,10.0,2.0,2.0,3.0,11.0,2.0,5.0,,6.0,-1.0,11.0,4.0,18.0,1.0,7.0
Malcolm Mitchell,NE,WR,80.1,14,5.7,4.3,2.0,3.2,0.0,1.7,0.0,0.0,,,1.8,17.8,18.7,12.2,12.1,1.9,4.4,
Charcandrick West,KC,RB,80.1,15,5.3,5.3,6.8,2.6,,,1.9,1.3,7.0,8.9,2.5,5.7,0.8,0.0,6.4,0.5,4.3,26.1
Brian Hoyer,CHI,QB,79.7,6,13.3,,3.1,18.9,19.8,23.8,12.1,2.0,,,,,,,,,,
